model,accuracy,log_loss,brier,auc
Logistic,0.6614853195164075,0.6261296238609859,0.21809931461272544,0.7105171297553233
Rolling boosting,0.6485319516407599,0.6317213245736613,0.22060444948271207,0.7032075589912195
Elo blend,0.6355785837651122,0.634815053424212,0.22239451329422816,0.6893342920307779
Gradient boosting,0.6381692573402418,0.6366661912054102,0.2228018079017275,0.6988635855085521
Random forest,0.6381692573402418,0.6387205075959017,0.22361318784841192,0.6963753479504858
Tree,0.4930915371329879,0.6938556155354761,0.25035411609180475,0.5
